STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
34742,2,-1.33,-7,1.977,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.3101,-1.14,-1.43,1
34743,2,0.25,1.34,0.3231,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0.1216,-1.13,-1.48,1
34745,2,-7,-2.07,0.7896,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.9724,-7,0.14,1
34746,2,0.25,0.1,0.4378,0,0,0,0,0,1,0,0,0,0,0,-0.5258,-9,0.47,1
34747,2,-0.48,-1.41,-0.4235,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.9492,-0.13,-1.81,1
34748,1,0.25,-0.17,-0.4864,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-0.7643,-7,-7,4
34749,2,-8,-8,-8,0,0,0,0,0,0,0,0,0,0,0,-8,-0.47,-2.39,1
34750,2,-1.63,-0.17,-0.0593,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.0106,-0.8,-0.17,1
34751,1,0.25,0.77,-1.0282,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.0614,0.19,0.15,1
34752,2,1.83,-7,0.2469,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.098,1.18,-7,1
34753,1,0.67,0.95,0.0392,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.2478,1.18,0.46,1
34754,1,-7,-1,-0.1595,0,0,0,0,0,0,0,0,0,0,0,-0.9685,-1.48,-7,1
34755,1,0.68,1.62,0.2646,0,0,0,0,0,0,0,0,0,0,0,-1.86,0.54,0.46,1
34756,1,-7,1.17,-0.4136,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.8555,1.18,1.1,4
34757,2,-0.05,0.49,0.3354,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.0281,1.18,1.1,1
34758,1,-0.48,0.24,-0.3006,0,0,0,0,0,0,0,0,0,0,0,-0.4657,1.18,-1.48,1
34759,2,1.83,0.27,1.4227,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.5098,0.17,0.15,1
34760,1,-7,-0.17,-0.7045,0,0,0,0,0,0,0,0,0,0,0,0.9624,0.19,-7,4
34761,2,0.25,0.55,0.7171,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.0211,-0.07,-0.42,1
34762,1,-2.91,0.1,0.7493,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.4177,0.85,1.1,1
34763,2,0.25,0.1,0.2608,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.8598,-8,-8,1
