STU_ID,BYSTLANG,BYENGLSE,BYHOMLNG,BYSTLNG2,BYSES1,BYSES2,BYP50A,BYP50B,BYP50C,BYP50D,BYP50E,BYP50F,BYP50G,BYP50H,F2HSSTAT
370206,0,1.407,2,2,0.55,0.7,-3,-3,-3,-3,-3,-3,-3,-3,1
370207,0,1.596,5,2,0.91,1.04,-4,-4,-4,-4,-4,-4,-4,-4,1
370208,1,0.893,1,4,0.33,0.38,-3,-3,-3,-3,-3,-3,-3,-3,1
370209,1,-0.933,1,4,0.26,0.1,-3,-3,-3,-3,-3,-3,-3,-3,1
370210,1,-0.387,1,4,-0.37,-0.25,-3,-3,-3,-3,-3,-3,-3,-3,1
370211,0,1.335,2,2,0.39,0.08,-3,-3,-3,-3,-3,-3,-3,-3,1
370212,1,1.407,1,4,-1.51,-1.36,-3,-3,-3,-3,-3,-3,-3,-3,1
370213,0,-1.391,2,2,-1.19,-1.34,-3,-3,-3,-3,-3,-3,-3,-3,1
370214,0,-9,-9,3,-1.34,-1.2,-3,-3,-3,-3,-3,-3,-3,-3,2
370215,0,-0.387,2,2,-1.05,-0.91,-3,-3,-3,-3,-3,-3,-3,-3,1
370216,0,-0.214,5,2,0.98,1.16,-3,-3,-3,-3,-3,-3,-3,-3,1
370218,0,-0.933,2,2,-0.07,-0.1,-4,-4,-4,-4,-4,-4,-4,-4,1
370219,0,-9,2,2,-0.93,-0.83,-3,-3,-3,-3,-3,-3,-3,-3,1
370220,1,-0.933,1,4,-0.19,-0.28,-4,-4,-4,-4,-4,-4,-4,-4,6
370221,0,-9,5,2,0.28,0.16,-3,-3,-3,-3,-3,-3,-3,-3,1
370222,1,-9,1,4,0.98,1.16,-3,-3,-3,-3,-3,-3,-3,-3,1
370223,1,0.331,1,4,0.12,0,-3,-3,-3,-3,-3,-3,-3,-3,1
370225,1,-9,1,4,-1.18,-1.1,-3,-3,-3,-3,-3,-3,-3,-3,1
370226,0,-9,2,2,-1.11,-1.03,-9,-9,-9,-9,-9,-9,-9,-9,8
370227,0,-9,2,2,-1.35,-1.18,-3,-3,-3,-3,-3,-3,-3,-3,1
370228,0,1.596,2,2,-0.03,0.03,-9,-9,-9,-9,-9,-9,-9,-9,1
370229,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
370230,0,0.331,-9,3,-0.82,-0.79,-3,-3,-3,-3,-3,-3,-3,-3,1
370231,1,-2.197,1,4,0.46,0.48,-3,-3,-3,-3,-3,-3,-3,-3,1
370232,0,-0.68,2,2,-0.52,-0.39,-3,-3,-3,-3,-3,-3,-3,-3,1
370233,1,-9,-9,4,-0.09,0.03,1,1,1,0,0,1,1,1,10
371102,0,-0.933,6,2,0.28,0.26,-3,-3,-3,-3,-3,-3,-3,-3,1
371103,1,-0.23,1,4,-0.61,-0.49,-7,-7,-7,-7,-7,-7,-7,-7,9
371104,1,1.596,1,4,-1.25,-1.14,-3,-3,-3,-3,-3,-3,-3,-3,1
371105,0,-0.933,5,2,-1.68,-1.51,-3,-3,-3,-3,-3,-3,-3,-3,1
371106,1,-0.933,1,4,-0.11,0.01,-3,-3,-3,-3,-3,-3,-3,-3,1
371110,1,-1.494,1,4,-0.74,-0.65,-4,-4,-4,-4,-4,-4,-4,-4,1
371111,0,-9,5,3,-0.92,-0.95,-7,-7,-7,-7,-7,-7,-7,-7,1
371112,1,1.596,1,4,0.16,0.15,1,0,0,0,0,0,0,0,1
371113,1,-9,1,4,-0.4,-0.4,-3,-3,-3,-3,-3,-3,-3,-3,1
371116,1,-0.933,1,4,-1.42,-1.34,1,0,0,0,0,0,0,0,1
371117,1,-9,1,4,-1.19,-1.11,0,0,0,1,0,0,0,1,1
371118,1,0.331,1,4,0.17,0.08,-4,-4,-4,-4,-4,-4,-4,-4,1
371119,1,-0.933,1,4,-1.17,-1.08,-3,-3,-3,-3,-3,-3,-3,-3,1
371120,1,0.331,1,4,0.31,0.42,-4,-4,-4,-4,-4,-4,-4,-4,1
371123,1,1.154,1,4,0.55,0.6,-3,-3,-3,-3,-3,-3,-3,-3,1
371124,0,-0.933,5,1,-0.95,-0.84,-7,-7,-7,-7,-7,-7,-7,-7,9
371125,1,1.335,1,4,0.06,0.06,-4,-4,-4,-4,-4,-4,-4,-4,1
371126,0,-0.933,5,2,-1.17,-1,-3,-3,-3,-3,-3,-3,-3,-3,1
371127,1,0.331,1,4,-0.09,0.06,-7,-7,-7,-7,-7,-7,-7,-7,4
371128,1,-9,1,4,-1.35,-1.29,-7,-7,-7,-7,-7,-7,-7,-7,9
371130,0,-0.933,5,1,-1.55,-1.55,-3,-3,-3,-3,-3,-3,-3,-3,1
371133,1,-9,1,4,-0.28,-0.18,1,0,0,0,0,0,0,0,1
371201,1,-9,1,4,-0.34,-0.22,-4,-4,-4,-4,-4,-4,-4,-4,1
371203,1,-9,1,4,-1.54,-1.43,-3,-3,-3,-3,-3,-3,-3,-3,1
371204,1,-0.191,1,4,-0.13,-0.01,-7,-7,-7,-7,-7,-7,-7,-7,10
371205,1,-9,1,4,-0.85,-0.7,-3,-3,-3,-3,-3,-3,-3,-3,10
371206,1,-0.095,1,4,0.28,0.28,-3,-3,-3,-3,-3,-3,-3,-3,1
371207,0,1.081,4,2,0.85,0.73,-3,-3,-3,-3,-3,-3,-3,-3,1
371208,1,0.331,1,4,0.85,0.88,-3,-3,-3,-3,-3,-3,-3,-3,1
371209,1,-9,1,4,-1.49,-1.38,-3,-3,-3,-3,-3,-3,-3,-3,1
371210,0,-9,2,2,-0.58,-0.67,-3,-3,-3,-3,-3,-3,-3,-3,1
371213,1,-9,1,4,0.8,0.84,-4,-4,-4,-4,-4,-4,-4,-4,1
371215,1,-9,1,4,0.49,0.37,0,0,0,0,0,0,0,1,1
371216,1,-9,1,4,0.45,0.2,-3,-3,-3,-3,-3,-3,-3,-3,1
371217,1,0.585,1,4,0.7,0.43,-7,-7,-7,-7,-7,-7,-7,-7,1
371218,1,1.596,1,4,0.38,0.4,-3,-3,-3,-3,-3,-3,-3,-3,10
371219,1,0.854,1,4,-0.25,-0.26,0,0,0,1,0,0,0,0,1
371222,1,-0.111,1,4,0.29,0.08,-3,-3,-3,-3,-3,-3,-3,-3,1
371225,1,-0.933,1,4,-0.43,-0.44,1,0,0,0,0,0,0,0,1
371226,1,-9,1,4,0,-0.27,-7,-7,-7,-7,-7,-7,-7,-7,2
371227,1,-9,1,4,0.99,1.1,-4,-4,-4,-4,-4,-4,-4,-4,3
371228,1,0.37,1,4,-1,-1.13,1,0,0,0,0,0,0,0,1
371229,1,1.342,1,4,0.46,0.37,-4,-4,-4,-4,-4,-4,-4,-4,1
371232,1,-9,1,4,0.3,0.42,-3,-3,-3,-3,-3,-3,-3,-3,1
372102,1,-0.23,1,4,0.04,0.02,-3,-3,-3,-3,-3,-3,-3,-3,1
372103,1,-0.933,1,4,0.69,0.6,-3,-3,-3,-3,-3,-3,-3,-3,1
372104,0,-0.291,5,0,0.88,1,-4,-4,-4,-4,-4,-4,-4,-4,1
372105,1,-0.403,1,4,-1.02,-0.87,-3,-3,-3,-3,-3,-3,-3,-3,3
372106,1,0.266,1,4,-0.22,-0.05,-7,-7,-7,-7,-7,-7,-7,-7,1
372107,1,-9,1,4,-0.69,-0.63,-4,-4,-4,-4,-4,-4,-4,-4,2
372108,1,-9,1,4,-0.45,-0.63,-4,-4,-4,-4,-4,-4,-4,-4,1
372110,1,0.078,1,4,-0.94,-0.95,-3,-3,-3,-3,-3,-3,-3,-3,1
372111,1,-0.933,1,4,0.28,0.28,1,0,0,0,0,0,0,0,1
372113,1,-9,1,4,-0.73,-0.61,-3,-3,-3,-3,-3,-3,-3,-3,1
372114,1,-0.111,1,4,-0.51,-0.66,-3,-3,-3,-3,-3,-3,-3,-3,1
372115,0,-9,6,3,-0.86,-0.75,0,0,0,0,1,0,0,0,1
372117,1,-9,1,4,-0.17,-0.02,1,0,0,0,0,0,0,1,1
372118,1,-9,1,4,1.11,1.13,-3,-3,-3,-3,-3,-3,-3,-3,1
372120,1,0.773,1,4,0.65,0.85,-3,-3,-3,-3,-3,-3,-3,-3,1
372121,0,0.07,2,2,0.75,0.66,-3,-3,-3,-3,-3,-3,-3,-3,1
372123,1,1.327,1,4,-0.5,-0.63,-3,-3,-3,-3,-3,-3,-3,-3,1
372124,1,1.219,1,4,-0.04,0.1,-3,-3,-3,-3,-3,-3,-3,-3,1
372125,1,-0.111,1,4,0.1,-0.18,1,0,0,0,0,0,0,0,2
372126,1,-9,1,4,0.04,0.16,-3,-3,-3,-3,-3,-3,-3,-3,6
372128,1,-1.006,1,4,-0.16,-0.15,-3,-3,-3,-3,-3,-3,-3,-3,1
372130,1,-0.933,1,4,1.08,0.97,-3,-3,-3,-3,-3,-3,-3,-3,9
372131,1,-0.483,1,4,0.6,0.51,-3,-3,-3,-3,-3,-3,-3,-3,2
372132,0,0.331,2,2,-1.09,-0.98,-3,-3,-3,-3,-3,-3,-3,-3,1
372201,1,-9,1,4,-0.81,-0.78,-3,-3,-3,-3,-3,-3,-3,-3,1
372202,1,0.331,1,4,-0.08,-0.27,-3,-3,-3,-3,-3,-3,-3,-3,1
372204,0,-9,2,2,-0.61,-0.74,-3,-3,-3,-3,-3,-3,-3,-3,1
372205,1,-2.197,1,4,-1.36,-1.3,1,0,0,0,0,0,1,0,8
372206,1,-9,1,4,-0.44,-0.44,-4,-4,-4,-4,-4,-4,-4,-4,1
372207,1,-9,1,4,-1.01,-0.93,-3,-3,-3,-3,-3,-3,-3,-3,1
372208,0,-9,2,1,-0.52,-0.46,-3,-3,-3,-3,-3,-3,-3,-3,1
372209,1,-9,1,4,-1.43,-1.26,-3,-3,-3,-3,-3,-3,-3,-3,10
372210,0,0.331,5,2,-0.87,-0.7,-3,-3,-3,-3,-3,-3,-3,-3,1
372211,1,-9,1,4,-0.59,-0.51,-3,-3,-3,-3,-3,-3,-3,-3,1
372212,1,-9,1,4,-0.01,-0.16,-3,-3,-3,-3,-3,-3,-3,-3,10
372213,1,-9,1,4,-0.47,-0.62,1,0,0,0,0,0,0,0,1
372214,1,-9,1,4,-0.4,-0.4,-7,-7,-7,-7,-7,-7,-7,-7,1
372215,1,-9,1,4,-0.73,-0.73,-4,-4,-4,-4,-4,-4,-4,-4,1
372216,1,-9,1,4,-0.15,-0.31,-4,-4,-4,-4,-4,-4,-4,-4,10
372220,1,-0.933,1,4,-0.67,-0.83,-3,-3,-3,-3,-3,-3,-3,-3,2
372222,1,-0.933,1,4,0.08,-0.17,-3,-3,-3,-3,-3,-3,-3,-3,1
372223,0,-0.933,2,3,-1.25,-1.18,-3,-3,-3,-3,-3,-3,-3,-3,1
372224,1,1.407,1,4,0.62,0.52,-3,-3,-3,-3,-3,-3,-3,-3,1
372226,1,-9,-9,4,-1.01,-0.99,-3,-3,-3,-3,-3,-3,-3,-3,1
372227,1,0.623,1,4,0.87,0.91,-3,-3,-3,-3,-3,-3,-3,-3,1
372229,1,-9,-9,4,-0.82,-0.82,-3,-3,-3,-3,-3,-3,-3,-3,2
372231,1,-9,1,4,0.52,0.63,-1,-1,-1,-1,-1,-1,-1,-1,10
372232,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,9
372234,1,1.407,1,4,1.2,1.31,-4,-4,-4,-4,-4,-4,-4,-4,1
373101,1,-2.009,1,4,-0.63,-0.66,-3,-3,-3,-3,-3,-3,-3,-3,9
373102,1,-9,1,4,0.51,0.23,-3,-3,-3,-3,-3,-3,-3,-3,1
373103,1,-9,1,4,0.41,0.54,-3,-3,-3,-3,-3,-3,-3,-3,1
373104,1,-0.672,1,4,0.89,1.08,1,0,0,0,0,0,0,0,1
373105,1,-0.149,1,4,0.55,0.73,-3,-3,-3,-3,-3,-3,-3,-3,3
373106,1,-9,1,4,-1.12,-1.04,1,0,0,0,0,0,0,0,1
373107,1,1.596,1,4,0.01,0.15,-3,-3,-3,-3,-3,-3,-3,-3,1
373108,1,1.407,1,4,1.19,1.22,-3,-3,-3,-3,-3,-3,-3,-3,3
373109,1,1.596,1,4,0.74,0.85,-3,-3,-3,-3,-3,-3,-3,-3,1
373110,1,-9,1,4,0.7,0.83,1,0,0,0,0,0,0,0,1
373111,1,-9,1,4,-0.07,-0.23,-3,-3,-3,-3,-3,-3,-3,-3,1
373112,1,-0.214,1,4,-0.78,-0.97,-4,-4,-4,-4,-4,-4,-4,-4,1
373113,1,-9,1,4,-1,-0.91,-3,-3,-3,-3,-3,-3,-3,-3,1
373114,1,-0.933,1,4,0.75,0.51,-3,-3,-3,-3,-3,-3,-3,-3,1
373115,1,-9,1,4,-0.21,-0.07,-3,-3,-3,-3,-3,-3,-3,-3,1
373116,1,-9,1,4,0.28,0.19,-3,-3,-3,-3,-3,-3,-3,-3,1
373117,1,0.885,1,4,0.49,0.49,-3,-3,-3,-3,-3,-3,-3,-3,3
373118,1,0.789,1,4,0.15,-0.02,-4,-4,-4,-4,-4,-4,-4,-4,1
373120,1,1.034,1,4,0.8,0.83,-3,-3,-3,-3,-3,-3,-3,-3,1
373121,1,-9,1,4,-0.4,-0.32,-3,-3,-3,-3,-3,-3,-3,-3,1
373122,1,1.596,1,4,-0.06,-0.29,-3,-3,-3,-3,-3,-3,-3,-3,1
373123,1,-9,1,4,-0.42,-0.69,-3,-3,-3,-3,-3,-3,-3,-3,3
373124,1,1.034,1,4,-0.42,-0.57,-4,-4,-4,-4,-4,-4,-4,-4,1
373125,0,1.407,3,2,-0.48,-0.48,-3,-3,-3,-3,-3,-3,-3,-3,1
373201,1,-9,1,4,-0.57,-0.79,-7,-7,-7,-7,-7,-7,-7,-7,1
373202,1,1.596,1,4,-0.91,-0.82,-3,-3,-3,-3,-3,-3,-3,-3,1
373203,1,-9,1,4,-1.62,-1.55,-9,-9,-9,-9,-9,-9,-9,-9,1
373205,0,-9,2,3,-0.78,-0.67,-4,-4,-4,-4,-4,-4,-4,-4,1
373206,0,-9,2,2,-1.35,-1.26,-3,-3,-3,-3,-3,-3,-3,-3,1
373208,0,-0.41,6,2,-1.02,-0.85,-3,-3,-3,-3,-3,-3,-3,-3,1
373209,1,-9,1,4,-0.77,-0.66,-3,-3,-3,-3,-3,-3,-3,-3,1
373210,1,-9,1,4,-1.53,-1.36,-3,-3,-3,-3,-3,-3,-3,-3,2
373211,1,-0.576,1,4,-0.75,-0.67,-3,-3,-3,-3,-3,-3,-3,-3,1
373212,0,0.331,2,2,-0.76,-0.65,-3,-3,-3,-3,-3,-3,-3,-3,1
373213,0,-1.122,2,2,-1.02,-0.87,-3,-3,-3,-3,-3,-3,-3,-3,1
