STU_ID,BYSEX,BYENGLSE,BYSES1,BYSES2,BYS24F,BYGRDRPT,BYLGRRPT,BYTXMSTD,BYPISAME,BYACTCTL,F2HSSTAT
219212,1,-0.23,-0.19,-0.38,1,0,-3,46.19,455.89,-1.049,9
219213,2,-2.009,1.06,0.98,1,0,-3,54.49,528.78,-2.127,1
219214,1,-0.933,0.19,0.28,1,0,-3,43.12,427.76,-1.049,1
219215,2,1.596,0.53,0.57,1,0,-3,63.47,614.53,-0.566,1
219216,2,-9,-0.04,0.03,-7,0,-3,47.18,464.58,-9,6
219217,1,0.331,-0.39,-0.32,1,98,98,49.21,481.99,0.326,1
219218,1,0.151,0.62,0.64,1,0,-3,45.72,451.7,-9,1
219219,2,-1.528,-0.92,-0.77,1,0,-3,42.65,423.27,0.898,1
219220,1,-0.933,-0.34,-0.43,1,98,98,49.88,487.69,-0.973,1
219221,2,0.331,-1.1,-1.01,1,98,98,48.84,478.81,-1.049,1
219222,1,-9,-0.68,-0.67,1,1,9,37.93,378.2,-9,10
219223,2,-0.56,-0.42,-0.41,1,0,-3,33.09,348.8,-0.207,1
219224,2,-2.197,0.36,0.39,1,0,-3,49.94,488.23,1.08,1
219225,1,-0.16,-1.39,-1.28,1,1,10,33.33,350.02,0.446,1
219226,1,-0.933,-0.83,-0.68,1,98,98,48.24,473.7,-0.504,1
219227,2,-0.68,-0.45,-0.46,1,98,98,44.98,445.05,-0.516,1
219228,1,-9,-0.83,-1,1,98,98,35.04,359.49,-9,7
219229,1,1.596,-0.59,-0.44,2,0,-3,51.22,499.27,1.702,6
219230,2,-0.664,-0.49,-0.5,2,0,-3,41,407.43,-1.049,7
219231,2,-0.372,-0.93,-1.04,1,1,0,41.33,410.57,-0.663,9
219232,1,-9,-0.57,-0.42,1,1,3,38.44,382.8,-9,5
219233,1,-0.214,1.22,1.4,1,0,-3,56.36,547.02,-0.535,1
219234,2,-9,0.41,0.53,1,0,-3,49.76,486.67,-0.574,1
219235,2,-0.141,-0.18,-0.43,1,0,-3,35.87,364.51,0.149,1
220101,2,0.062,-0.13,-0.01,1,98,98,36.85,370.77,-0.516,9
220102,2,1.596,-0.12,-0.16,1,0,-3,37.33,374.05,1.702,1
220103,2,1.596,0.34,0.09,1,0,-3,45.89,453.23,-0.294,1
220104,2,-1.241,0.4,0.42,1,0,-3,47.74,469.42,-1.727,1
220105,2,1.596,0.18,0.24,1,0,-3,62.68,608.56,1.702,6
220106,2,-9,-1.1,-0.99,1,0,-3,57.83,561.81,-0.738,1
220107,2,-0.933,-1.84,-1.77,1,0,-3,33.14,349.04,-0.477,2
220108,2,-2.009,-0.52,-0.71,1,0,-3,26.73,323.42,-1.447,6
220110,2,-0.033,-0.2,-0.28,1,1,0,32.41,345.37,0.034,5
220111,2,-0.933,0.71,0.74,1,0,-3,49.68,485.97,-1.049,1
220112,2,0.331,-0.06,-0.08,1,0,-3,50.72,494.95,0.371,1
220113,2,-0.372,0.24,-0.03,1,0,-3,53.03,515.31,0.606,1
220114,1,-0.403,0.87,0.92,1,0,-3,49.08,480.89,0.015,10
220115,2,-0.118,0.01,-0.01,1,0,-3,51.83,504.59,1.151,1
